,VideoId,SaveIdName,Time,Bbox
9009,SFEc7iy6zmI,SFEc7iy6zmI_0.mp4,"(33.41, 37.0)","[0.0407, 0.6944, 0.6323, 1.0]"
9010,4E55_uKSR40,4E55_uKSR40_1.mp4,"(13.43, 17.81)","[0.0, 0.4741, 0.4505, 0.7172]"
9011,YH_vICd0WQ0,YH_vICd0WQ0_0.mp4,"(7.13, 11.26)","[0.0, 0.8, 0.3557, 0.8057]"
9012,1kPvrYaCi4c,1kPvrYaCi4c_2.mp4,"(141.73, 147.02)","[0.0824, 0.5806, 0.3745, 0.6547]"
9013,ew2YDCHqhws,ew2YDCHqhws_0.mp4,"(37.91, 40.96)","[0.0, 0.6907, 0.3516, 0.7401]"
9014,AHjOZLikqoM,AHjOZLikqoM_0.mp4,"(80.58, 83.54)","[0.0102, 0.6287, 0.313, 0.6609]"
9015,XFK5SV1-Pzg,XFK5SV1-Pzg_5.mp4,"(95.93, 102.02)","[0.0861, 0.7435, 0.4031, 0.7729]"
9016,-2KGPYEFnsU,-2KGPYEFnsU_4.mp4,"(60.06, 64.94)","[0.137, 0.6296, 0.1385, 0.4156]"
9017,MRY7aw6iEb0,MRY7aw6iEb0_0.mp4,"(47.71, 51.68)","[0.0, 0.7796, 0.5219, 0.9604]"
9018,t-a9Zi8-n5Y,t-a9Zi8-n5Y_1.mp4,"(45.88, 50.97)","[0.0, 0.7528, 0.4328, 0.8562]"
9019,dN1RMOrtK7A,dN1RMOrtK7A_0.mp4,"(64.23, 67.48)","[0.0, 0.713, 0.1766, 0.5776]"
9020,1kPvrYaCi4c,1kPvrYaCi4c_3.mp4,"(152.57, 156.07)","[0.0, 0.6759, 0.1896, 0.5698]"
9021,KQa_SiTfU34,KQa_SiTfU34_2.mp4,"(133.51, 141.02)","[0.0296, 0.7111, 0.374, 0.7573]"
9022,Lw5Ss6z8IoM,Lw5Ss6z8IoM_0.mp4,"(70.28, 73.82)","[0.0454, 0.8065, 0.3802, 0.8083]"
9023,ew2YDCHqhws,ew2YDCHqhws_1.mp4,"(45.09, 48.17)","[0.0, 0.6093, 0.0859, 0.4286]"
9024,AHjOZLikqoM,AHjOZLikqoM_1.mp4,"(144.94, 150.4)","[0.0, 0.6556, 0.4786, 0.8474]"
9025,ZXkKHnmKWoI,ZXkKHnmKWoI_6.mp4,"(75.91, 78.83)","[0.0, 0.7463, 0.5047, 0.9245]"
9026,E7i4pNsqnls,E7i4pNsqnls_0.mp4,"(63.23, 67.78)","[0.0, 0.8481, 0.1505, 0.6276]"
9027,4E55_uKSR40,4E55_uKSR40_0.mp4,"(0.0, 4.21)","[0.0, 0.5167, 0.4292, 0.7198]"
9028,HPcr2gT_cnA,HPcr2gT_cnA_1.mp4,"(86.75, 91.63)","[0.0148, 0.5796, 0.2078, 0.5255]"
9029,btbPv-Xtd7M,btbPv-Xtd7M_4.mp4,"(121.79, 127.84)","[0.0, 0.6389, 0.4594, 0.8187]"
9030,Q9B0pFDCviw,Q9B0pFDCviw_1.mp4,"(32.47, 40.9)","[0.0, 0.875, 0.1695, 0.6617]"
9031,Mgc3y6p-Bys,Mgc3y6p-Bys_2.mp4,"(55.93, 63.36)","[0.0, 0.8444, 0.338, 0.813]"
9032,TknTP23YYFI,TknTP23YYFI_5.mp4,"(141.89, 148.57)","[0.0583, 0.6657, 0.2885, 0.6302]"
9033,EroyjPcw3sg,EroyjPcw3sg_5.mp4,"(105.44, 110.99)","[0.0, 0.6944, 0.4427, 0.8333]"
9034,oBURpv30IkA,oBURpv30IkA_2.mp4,"(55.51, 58.73)","[0.0, 0.8296, 0.1089, 0.5755]"
9035,g95ZXrh2oK4,g95ZXrh2oK4_5.mp4,"(182.02, 185.56)","[0.0111, 0.6815, 0.1125, 0.4896]"
9036,LVvJj9sDilQ,LVvJj9sDilQ_5.mp4,"(114.03, 117.66)","[0.0, 0.8963, 0.2286, 0.7328]"
9037,YNAv6w5RDIs,YNAv6w5RDIs_8.mp4,"(46.71, 50.55)","[0.0, 0.8352, 0.437, 0.9068]"
9038,rbtZuYVWt-c,rbtZuYVWt-c_12.mp4,"(355.49, 361.59)","[0.0, 0.7259, 0.5453, 0.9536]"
9039,onesjJyXdFQ,onesjJyXdFQ_4.mp4,"(107.77, 111.4)","[0.0269, 0.6972, 0.3812, 0.7583]"
9040,KIaGw6wplH4,KIaGw6wplH4_3.mp4,"(553.26, 559.64)","[0.0, 0.5241, 0.288, 0.5828]"
9041,tSyHF-jstuI,tSyHF-jstuI_0.mp4,"(73.62, 77.99)","[0.0, 0.5815, 0.5885, 0.9156]"
9042,GwtcfnmV68I,GwtcfnmV68I_1.mp4,"(71.78, 74.87)","[0.0, 0.7056, 0.3953, 0.7922]"
9043,rYAqCGHF0oM,rYAqCGHF0oM_6.mp4,"(84.25, 90.26)","[0.088, 0.625, 0.2, 0.5021]"
9044,RY1FQGd1Bb4,RY1FQGd1Bb4_0.mp4,"(124.5, 128.88)","[0.1398, 0.7565, 0.2328, 0.5797]"
9045,i7Jg_6-fYF8,i7Jg_6-fYF8_1.mp4,"(143.31, 147.31)","[0.0, 0.9352, 0.1339, 0.6599]"
9046,7s3dzArIVok,7s3dzArIVok_0.mp4,"(47.13, 51.51)","[0.0, 0.9685, 0.2042, 0.749]"
9047,OCerM6N6ErQ,OCerM6N6ErQ_6.mp4,"(193.03, 197.16)","[0.0204, 0.5389, 0.188, 0.4797]"
9048,LVvJj9sDilQ,LVvJj9sDilQ_4.mp4,"(89.88, 92.97)","[0.0, 0.7556, 0.5365, 0.9615]"
9049,YNAv6w5RDIs,YNAv6w5RDIs_9.mp4,"(59.23, 63.36)","[0.0, 0.7704, 0.4229, 0.8562]"
9050,rh8OdlSXiDo,rh8OdlSXiDo_0.mp4,"(40.08, 44.92)","[0.0, 0.8815, 0.126, 0.6219]"
9051,8tAKeZMOFHc,8tAKeZMOFHc_3.mp4,"(112.53, 115.95)","[0.0, 0.5815, 0.2276, 0.5547]"
9052,btbPv-Xtd7M,btbPv-Xtd7M_5.mp4,"(130.13, 141.77)","[0.0, 0.6259, 0.4682, 0.8203]"
9053,Q9B0pFDCviw,Q9B0pFDCviw_0.mp4,"(7.37, 14.2)","[0.0, 0.7167, 0.2242, 0.6273]"
9054,queypx4pldA,queypx4pldA_1.mp4,"(202.27, 207.41)","[0.0, 0.5889, 0.3286, 0.6599]"
9055,Mgc3y6p-Bys,Mgc3y6p-Bys_3.mp4,"(115.99, 120.04)","[0.0, 0.6417, 0.0969, 0.4583]"
9056,d82LKPNesE8,d82LKPNesE8_90.mp4,"(1556.43, 1562.93)","[0.0, 0.825, 0.2031, 0.6672]"
9057,TknTP23YYFI,TknTP23YYFI_4.mp4,"(130.21, 138.85)","[0.0, 0.6667, 0.263, 0.638]"
9058,jae6BhCUXQ8,jae6BhCUXQ8_2.mp4,"(63.65, 67.36)","[0.0, 0.75, 0.2203, 0.6422]"
9059,rYAqCGHF0oM,rYAqCGHF0oM_7.mp4,"(107.61, 112.28)","[0.0, 0.8593, 0.3573, 0.8406]"
9060,i7Jg_6-fYF8,i7Jg_6-fYF8_0.mp4,"(117.45, 120.83)","[0.0231, 0.6676, 0.3365, 0.699]"
9061,onesjJyXdFQ,onesjJyXdFQ_5.mp4,"(111.95, 120.95)","[0.0481, 0.6852, 0.2234, 0.5818]"
9062,KIaGw6wplH4,KIaGw6wplH4_2.mp4,"(543.25, 551.51)","[0.0, 0.5259, 0.3031, 0.599]"
9063,ZS5K9DzFIco,ZS5K9DzFIco_2.mp4,"(24.19, 29.11)","[0.0, 0.7111, 0.4349, 0.8349]"
9064,tSyHF-jstuI,tSyHF-jstuI_1.mp4,"(90.3, 96.05)","[0.0, 0.8704, 0.3318, 0.8214]"
9065,F7_aagPOpUU,F7_aagPOpUU_0.mp4,"(80.71, 83.63)","[0.0343, 0.8083, 0.4073, 0.8427]"
9066,egB-SG97EcI,egB-SG97EcI_0.mp4,"(112.61, 117.08)","[0.0, 0.9907, 0.3474, 0.9047]"
9067,gXRw45jyIsE,gXRw45jyIsE_1.mp4,"(26.69, 32.16)","[0.0, 0.7519, 0.3099, 0.7328]"
9068,2_BwhA8M9-w,2_BwhA8M9-w_2.mp4,"(50.88, 54.26)","[0.0, 0.7926, 0.2234, 0.6693]"
9069,XPKzmSSQ2xk,XPKzmSSQ2xk_2.mp4,"(80.46, 83.75)","[0.0, 0.9981, 0.1984, 0.7599]"
9070,mz6dgt11n-E,mz6dgt11n-E_1.mp4,"(27.53, 32.28)","[0.0, 0.7852, 0.1432, 0.5849]"
9071,HYlXKtn36yE,HYlXKtn36yE_0.mp4,"(0.0, 4.09)","[0.0, 0.7185, 0.4073, 0.8115]"
9072,U0gtVg46p5A,U0gtVg46p5A_2.mp4,"(73.66, 76.79)","[0.0, 0.8, 0.1411, 0.5911]"
9073,qS2Np6zxXm0,qS2Np6zxXm0_1.mp4,"(100.43, 104.15)","[0.0, 0.8185, 0.3052, 0.7656]"
9074,QWuxCoBsvkE,QWuxCoBsvkE_1.mp4,"(60.6, 68.49)","[0.0, 0.5815, 0.2771, 0.6042]"
9075,xyh6G8sAoyg,xyh6G8sAoyg_45.mp4,"(1084.79, 1104.75)","[0.0, 0.7852, 0.274, 0.7156]"
9076,W8fjSVywGGk,W8fjSVywGGk_1.mp4,"(25.9, 30.66)","[0.0176, 0.5824, 0.4099, 0.7276]"
9077,f7l5I6ZPt_Y,f7l5I6ZPt_Y_1.mp4,"(53.39, 58.35)","[0.0, 0.8426, 0.1318, 0.6057]"
9078,e7Drq9juzI0,e7Drq9juzI0_3.mp4,"(65.07, 68.07)","[0.0759, 0.6963, 0.176, 0.525]"
9079,sMrjeejmCpI,sMrjeejmCpI_0.mp4,"(17.89, 25.15)","[0.0, 0.8981, 0.4948, 1.0]"
9080,mz6dgt11n-E,mz6dgt11n-E_0.mp4,"(22.52, 26.86)","[0.0, 0.987, 0.2786, 0.8339]"
9081,HYlXKtn36yE,HYlXKtn36yE_1.mp4,"(24.19, 30.86)","[0.0, 0.4741, 0.2516, 0.5182]"
9082,00GeBAqHrHk,00GeBAqHrHk_0.mp4,"(90.51, 94.26)","[0.0, 0.787, 0.1792, 0.6219]"
9083,2yI50UZ9C4M,2yI50UZ9C4M_6.mp4,"(172.67, 176.05)","[0.0444, 0.5185, 0.2203, 0.487]"
9084,-b-EFcA7ing,-b-EFcA7ing_4.mp4,"(123.79, 127.71)","[0.0, 0.8241, 0.4396, 0.9031]"
9085,FNz2bhEOKqU,FNz2bhEOKqU_2.mp4,"(88.42, 93.68)","[0.0, 0.8593, 0.3396, 0.8229]"
9086,W8fjSVywGGk,W8fjSVywGGk_0.mp4,"(22.52, 25.82)","[0.0306, 0.5639, 0.4521, 0.7521]"
9087,f7l5I6ZPt_Y,f7l5I6ZPt_Y_0.mp4,"(41.42, 46.38)","[0.0, 0.9352, 0.2724, 0.7984]"
9088,eqy51FuWn4Q,eqy51FuWn4Q_0.mp4,"(79.25, 84.42)","[0.0, 0.5148, 0.2656, 0.5552]"
9089,e7Drq9juzI0,e7Drq9juzI0_2.mp4,"(37.95, 41.79)","[0.0, 0.9463, 0.3932, 0.9255]"
9090,qS2Np6zxXm0,qS2Np6zxXm0_0.mp4,"(93.76, 97.26)","[0.0, 0.6667, 0.4474, 0.8224]"
9091,QWuxCoBsvkE,QWuxCoBsvkE_0.mp4,"(46.76, 53.47)","[0.0148, 0.5296, 0.3839, 0.6734]"
9092,xyh6G8sAoyg,xyh6G8sAoyg_44.mp4,"(1064.79, 1084.75)","[0.0, 0.863, 0.2703, 0.7557]"
9093,-Jzi-2lYWEw,-Jzi-2lYWEw_0.mp4,"(61.77, 66.65)","[0.0, 0.9296, 0.3219, 0.8448]"
9094,U0gtVg46p5A,U0gtVg46p5A_3.mp4,"(80.33, 83.63)","[0.0, 0.6704, 0.237, 0.6141]"
9095,_i97zAZclkI,_i97zAZclkI_0.mp4,"(19.23, 22.36)","[0.0472, 0.712, 0.1938, 0.5677]"
9096,nB95pK8TgYw,nB95pK8TgYw_0.mp4,"(68.53, 74.49)","[0.0, 0.7093, 0.2526, 0.6516]"
9097,wTfbHs4HlPo,wTfbHs4HlPo_5.mp4,"(80.91, 86.04)","[0.0398, 0.7009, 0.1406, 0.5125]"
9098,wTf4njh9TnE,wTf4njh9TnE_0.mp4,"(125.63, 130.13)","[0.0, 0.9407, 0.4167, 0.9458]"
9099,_x3KSXMXzwM,_x3KSXMXzwM_0.mp4,"(28.15, 32.99)","[0.0, 0.8056, 0.1901, 0.6432]"
9100,qhf4OPsyVHc,qhf4OPsyVHc_0.mp4,"(15.85, 21.15)","[0.0, 0.9167, 0.4177, 0.9333]"
9101,z40o1m1kHoc,z40o1m1kHoc_0.mp4,"(63.3, 68.0)","[0.0, 0.6463, 0.3917, 0.7552]"
9102,XvOKgNVwLes,XvOKgNVwLes_2.mp4,"(45.71, 52.22)","[0.1269, 0.7157, 0.3776, 0.7089]"
9103,XIUIPh9N3Ks,XIUIPh9N3Ks_3.mp4,"(72.74, 77.24)","[0.05, 0.5722, 0.5266, 0.8203]"
9104,1gKjUEAsY60,1gKjUEAsY60_7.mp4,"(63.44, 68.82)","[0.0, 0.9222, 0.3766, 0.8953]"
9105,TcndF9QpYAU,TcndF9QpYAU_2.mp4,"(100.1, 103.98)","[0.0, 0.7611, 0.4693, 0.8974]"
9106,WlvCTpjwaXE,WlvCTpjwaXE_0.mp4,"(0.0, 4.05)","[0.0, 0.8426, 0.1484, 0.6224]"
9107,XvOKgNVwLes,XvOKgNVwLes_3.mp4,"(57.56, 70.49)","[0.138, 0.7324, 0.3146, 0.649]"
9108,XIUIPh9N3Ks,XIUIPh9N3Ks_2.mp4,"(50.35, 53.79)","[0.0, 0.7833, 0.3568, 0.7974]"
9109,qhf4OPsyVHc,qhf4OPsyVHc_1.mp4,"(61.73, 66.4)","[0.0, 0.8667, 0.4401, 0.9276]"
9110,_x3KSXMXzwM,_x3KSXMXzwM_1.mp4,"(34.91, 38.2)","[0.0, 0.7722, 0.1203, 0.5547]"
9111,xI4s1uyYIX4,xI4s1uyYIX4_0.mp4,"(160.99, 164.04)","[0.0111, 0.7444, 0.3677, 0.7802]"
9112,wTfbHs4HlPo,wTfbHs4HlPo_4.mp4,"(70.9, 74.66)","[0.0907, 0.8148, 0.5073, 0.9146]"
9113,21zfukKMmOg,21zfukKMmOg_0.mp4,"(70.11, 74.66)","[0.0, 0.6611, 0.1953, 0.5672]"
9114,2gdUkYAleL0,2gdUkYAleL0_0.mp4,"(26.74, 29.9)","[0.1463, 0.6907, 0.1885, 0.4948]"
9115,oXGLNw5bGVU,oXGLNw5bGVU_4.mp4,"(80.12, 84.75)","[0.0, 0.6407, 0.1573, 0.5177]"
9116,1gKjUEAsY60,1gKjUEAsY60_6.mp4,"(60.1, 63.23)","[0.0, 0.9556, 0.0745, 0.612]"
9117,0oxx_2M6Ctw,0oxx_2M6Ctw_0.mp4,"(33.03, 39.0)","[0.0, 0.6852, 0.4854, 0.8708]"
